City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Qaanaaq,77.484,-69.3632,31.55,62,10,4.16,GL,1661783869
Ponta do Sol,32.6667,-17.1,77.63,67,79,3.33,PT,1661783424
Nanortalik,60.1432,-45.2371,40.19,93,90,10.36,GL,1661783870
Port Alfred,-33.5906,26.891,55.18,88,100,8.01,ZA,1661783870
Penzance,50.1186,-5.5371,70.92,56,20,21.85,GB,1661783566
Saint-Philippe,-21.3585,55.7679,74.79,84,70,6.85,RE,1661783871
Sri Aman,1.2376,111.4621,78.85,89,100,2.3,MY,1661783871
Yulara,-25.2406,130.9889,54.55,37,0,14.43,AU,1661783622
Bluff,-46.6,168.3333,44.8,88,43,6.49,NZ,1661783873
Tuatapere,-46.1333,167.6833,42.3,92,62,3.27,NZ,1661783527
Mataura,-46.1927,168.8643,44.47,98,14,2.51,NZ,1661783841
East London,-33.0153,27.9116,58.14,88,100,18.41,ZA,1661783874
Vestmannaeyjar,63.4427,-20.2734,52.79,93,75,31.07,IS,1661783581
Ushuaia,-54.8,-68.3,42.46,81,40,2.3,AR,1661783875
Çorum Province,40.5,34.75,84.88,29,0,12.5,TR,1661783875
Berlevåg,70.8578,29.0864,46.4,71,75,23.02,NO,1661783515
Chui,-33.6971,-53.4616,52.38,55,5,6.38,UY,1661783734
Marsh Harbour,26.5412,-77.0636,85.71,69,13,19.33,BS,1661783730
Kapaa,22.0752,-159.319,77.32,85,75,13.8,US,1661783876
Rocha,-34.4833,-54.3333,53.04,54,2,5.23,UY,1661783519
Tuktoyaktuk,69.4541,-133.0374,42.8,93,100,9.22,CA,1661783877
Bud,39.447,-86.1758,82.35,83,97,10.89,US,1661783878
Rikitea,-23.1203,-134.9692,71.01,85,23,14.65,PF,1661783836
Santa Fe,-31.6333,-60.7,58.01,44,0,8.99,AR,1661783878
Brae,60.3964,-1.353,54.32,66,56,10.31,GB,1661783446
Ghanzi,-21.5667,21.7833,86.68,12,4,5.37,BW,1661783879
New Norfolk,-42.7826,147.0587,53.71,65,100,1.99,AU,1661783879
Rio Grande,-32.035,-52.0986,55.51,62,96,10.78,BR,1661783880
Longyearbyen,78.2186,15.6401,40.84,65,75,5.75,SJ,1661783880
Cherskiy,68.75,161.3,44.71,89,7,7.92,RU,1661783880
Carnarvon,-24.8667,113.6333,65.98,63,77,22.79,AU,1661783638
Avarua,-21.2078,-159.775,66.25,100,8,1.14,CK,1661783711
Lata,40.1629,-8.3327,83.07,26,8,9.71,PT,1661783290
Vaini,-21.2,-175.2,69.96,94,40,2.3,TO,1661783882
Puerto Ayora,-0.7393,-90.3518,69.76,89,79,3.0,EC,1661783843
Deputatsky,69.3,139.9,43.65,78,17,2.15,RU,1661783458
Dabakala,8.3667,-4.4333,78.46,84,90,5.53,CI,1661783883
Tautira,-17.7333,-149.15,76.95,76,41,8.75,PF,1661783883
Tasiilaq,65.6145,-37.6368,48.36,95,100,34.74,GL,1661783884
Arlit,18.7369,7.3853,98.06,27,21,4.0,NE,1661783884
Suchitlán,19.3667,-103.7167,70.59,88,75,0.0,MX,1661783885
Asău,46.4333,26.4,87.28,38,99,3.24,RO,1661783885
Butaritari,3.0707,172.7902,81.57,74,97,13.98,KI,1661783886
Hermanus,-34.4187,19.2345,57.79,53,32,22.17,ZA,1661783886
Albany,42.6001,-73.9662,82.62,76,61,3.0,US,1661783838
Cabatuan,10.8794,122.486,77.11,89,85,3.49,PH,1661783887
Wawa,9.9022,4.4192,74.7,92,100,3.27,NG,1661783887
Hilo,19.7297,-155.09,77.29,73,0,6.91,US,1661783650
Roald,62.5833,6.1333,64.17,67,20,13.8,NO,1661783888
Busselton,-33.65,115.3333,50.7,81,26,4.88,AU,1661783889
Gewanē,10.1664,40.6453,91.22,34,5,5.75,ET,1661783889
Barrow,71.2906,-156.7887,37.42,100,100,8.05,US,1661783890
Kapoeta,4.7717,33.5903,86.13,45,45,3.58,SS,1661783499
Alugan,12.2188,125.4808,81.46,79,100,4.09,PH,1661783891
Airai,-8.9266,125.4092,58.01,93,53,2.91,TL,1661783891
Saskylakh,71.9167,114.0833,46.87,86,100,11.83,RU,1661783891
Kavieng,-2.5744,150.7967,82.26,71,73,14.03,PG,1661783841
Raja,8.4596,25.678,78.4,87,44,0.47,SS,1661783892
Ngama,11.7833,17.1667,86.9,52,32,5.32,TD,1661783893
Jamestown,42.097,-79.2353,82.94,66,0,10.36,US,1661783759
Santiago del Estero,-27.7951,-64.2615,60.31,19,23,7.65,AR,1661783894
Necochea,-38.5473,-58.7368,54.63,39,0,13.51,AR,1661783895
Lavaca,28.615,-96.6261,84.29,92,87,12.53,US,1661783895
Arraial do Cabo,-22.9661,-42.0278,69.66,73,100,16.11,BR,1661783804
Ketchikan,55.3422,-131.6461,59.47,94,100,12.66,US,1661783896
Khatanga,71.9667,102.5,39.25,95,100,20.47,RU,1661783840
Wolfhagen,51.3261,9.1702,74.71,43,20,3.44,DE,1661783897
Taoudenni,22.6783,-3.9836,105.51,22,85,10.54,ML,1661783897
Sukhumi,43.0033,41.0153,80.56,73,5,4.47,GE,1661783898
Leningradskiy,69.3833,178.4167,33.94,95,85,1.95,RU,1661783898
Hobart,-42.8794,147.3294,54.05,82,100,5.75,AU,1661783844
Fort Nelson,58.8053,-122.7002,47.79,87,75,3.44,CA,1661783797
Souillac,-20.5167,57.5167,71.98,83,20,6.91,MU,1661783899
College,64.8569,-147.8028,49.8,93,100,0.0,US,1661783900
Cidreira,-30.1811,-50.2056,54.07,58,100,9.17,BR,1661783900
Luan,46.3592,6.9759,76.32,57,90,8.99,CH,1661783901
Bambous Virieux,-20.3428,57.7575,71.85,83,20,6.91,MU,1661783901
